SES.Quintile,Sex,Month,Age,Deaths.2015,Deaths.2016,Deaths.2017,Deaths.2018,Deaths.2019
5,1,4,14-May,33.00128755,30.00487101,31.00506691,29.00489297,41.00436335
All,1,4,14-May,246.0086938,243.0210248,268.0181715,241.0181772,251.0145425
1,2,4,14-May,49,39,50.00183922,52.00128127,42
2,2,4,14-May,36.00250689,46.00191771,47,37,41.00268637
3,2,4,14-May,37.00187346,36,44.00184632,42.0034904,36
4,2,4,14-May,25,35.001544,43.004004,43.00190533,41.00140859
5,2,4,14-May,21,24.00069557,30,26,26
All,2,4,14-May,168.0045311,180.0048387,214.0075199,200.0070283,186.0048765
1,1,5,14-May,78,69.0050459,80,67.00176334,86.00549226
2,1,5,14-May,58.00196721,53.01096411,57.00236128,71.00559021,48
3,1,5,14-May,48.00619654,50.00614643,53,48.00623125,41
4,1,5,14-May,51.0021923,36.00290125,32.00453004,41,55.01335125
5,1,5,14-May,40.00223666,47.00554844,31.0034399,40.00662054,40.00855126
All,1,5,14-May,275.0144942,255.0311434,253.0128773,267.0202464,270.0241774
1,2,5,14-May,49,45,57.0013861,54,55
2,2,5,14-May,50,50,41,54,33
3,2,5,14-May,49,36.00182991,48,40,33
4,2,5,14-May,29,29.00179438,38.00184976,31,36.00178306
5,2,5,14-May,27,33.00230705,33.00394969,28.00159117,30
All,2,5,14-May,204,193.0052694,217.0077654,207.0018806,187.0016398
1,1,6,14-May,85.00400623,81,59.00426297,78.00272812,85.00625174
2,1,6,14-May,78.01029114,58,59.00739393,68.00277497,64.01293973
3,1,6,14-May,59.00532789,58.00219639,48,56,58.0047918
4,1,6,14-May,51.00840336,46,62.00970367,44.00296372,49
5,1,6,14-May,35.01066427,46.00930233,37.00209102,40.01226405,31.00167067
All,1,6,14-May,308.0456656,289.0105674,265.021044,286.0200368,287.0245096
1,2,6,14-May,52,54,50.00333261,49,39.0014863
2,2,6,14-May,38,52.00191588,39.00218761,39.00127877,44.00231605
3,2,6,14-May,38.00255453,34,39,28,52
4,2,6,14-May,39,39.00232816,25.00272955,28,45.00229789
5,2,6,14-May,25.00145936,20.00085449,29.00523436,27.00158537,30
All,2,6,14-May,192.0037194,199.0057597,182.0137908,171.0032294,210.0058165
1,1,7,14-May,82.00852159,91.00605775,93.00307177,81.00545416,70.00257959
2,1,7,14-May,56.00948934,70.00244211,78.0034066,60.00479854,70.00820916
3,1,7,14-May,62,56.00219335,63,53,58.00470156
4,1,7,14-May,55,39,46.00261725,53.01053356,53.0104046
5,1,7,14-May,39.00628515,37.00181643,46.0027933,32.00542769,39.0018412
All,1,7,14-May,294.0265611,293.0129605,326.0113559,279.026192,290.0266691
1,2,7,14-May,69.00297979,52.0037727,66,58.00247802,55
2,2,7,14-May,48,46.00149608,40,40.00151732,41.00182625
3,2,7,14-May,45,32,41,43,47
4,2,7,14-May,44,44.00477342,30,34,44.0023119
5,2,7,14-May,24.00275311,22,34.00207923,23.00109661,26.00539397
All,2,7,14-May,230.0064941,196.0091894,211.0019713,198.0055039,213.0097188
1,1,8,14-May,78.00337962,80.00552228,62.00860451,65,60.00424738
2,1,8,14-May,56,71.00258592,58.00673709,47.00550144,65.00509644
3,1,8,14-May,45.00617259,53,49.00176471,61.00238605,52
4,1,8,14-May,43.00660549,49.0039979,47.00287888,44,48.00764545
5,1,8,14-May,38,54.00358272,37,35.00788382,28.00676798
All,1,8,14-May,260.0165418,307.0162329,253.0197985,252.0173062,253.0256506
1,2,8,14-May,41.00143709,52,47.00187312,59,51.00207811
2,2,8,14-May,51.00206186,42,48,38.00235764,48.00954264
3,2,8,14-May,26.00156207,45.00167286,25,37,34.0016206
4,2,8,14-May,26.00201523,32.00225274,34,32,28.0012826
5,2,8,14-May,26.00268908,27.00141875,28.00184722,28.0031384,25.00386723
All,2,8,14-May,170.0114022,198.0055812,182.0034061,194.0054012,186.0136639
1,1,9,14-May,68,65.00441349,69,68.00470801,77.01104066
2,1,9,14-May,58.00668958,40.00347263,56.00209538,51,59.00479391
3,1,9,14-May,53.00267701,42,55.00203063,43.00402555,40.00163328
4,1,9,14-May,42.00399645,48.00734744,38,33.0015456,39.0051432
5,1,9,14-May,30.00586784,44.00773322,26,39.01469962,39.00394395
All,1,9,14-May,251.0210745,239.0218688,244.0042951,234.02271,254.0263647
1,2,9,14-May,43,36.00121698,47.00436152,42,54.00408104
2,2,9,14-May,36,38.00214733,35.00199637,35,40.00234933
3,2,9,14-May,44.00423324,31.00268174,37.00188679,38,33
4,2,9,14-May,33,42.00296378,29.00180085,29.00153711,30
5,2,9,14-May,30.00217193,29.00134294,29,39.00416438,28.00338911
All,2,9,14-May,186.0054332,176.0100566,177.0082992,183.0052117,185.0086377
1,1,10,14-May,60.00400143,56.00377899,79.01033724,73.00188972,64.00546006
2,1,10,14-May,55.00202994,67,66.00499259,58.00192015,53
3,1,10,14-May,29.00234643,41.00146783,43.00200367,47,47
4,1,10,14-May,39.00193207,43.00198689,40.00770652,36.00166113,42.00219717
5,1,10,14-May,34.00378655,36.00738899,39.00325657,37.01470114,33.00191223
All,1,10,14-May,217.0152782,243.0165665,267.0292305,251.022921,239.0097433
1,2,10,14-May,45,49,36.00116487,47,56
2,2,10,14-May,35.00156291,47,48,43.00529147,31
3,2,10,14-May,31.00137386,31.00163443,34,37,32
4,2,10,14-May,28,34.00162058,33,32,26
5,2,10,14-May,20,28.00124491,25,28.00595364,31
All,2,10,14-May,159.0028936,189.0050823,176.0015663,187.0115404,176
1,1,11,14-May,62.00215459,62.0103199,82.00203394,73.00224551,63.00401496
2,1,11,14-May,53.00213183,65,67.00248278,49,67.00245324
3,1,11,14-May,52,46.00395665,44,55,52
